OBJECTID,Record_ID,Offense_Code,Offense_Ext,Offense_Category,Description,Police_District,Beat,Grid,Occurence_Date
23,1562486,3571,0,NARCOTICS,11378 HS POSS/SALE AMPHETAMINE,2,2B,0564,2022/01/02 05:47:00+00
24,1562488,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6B,1084,2022/01/02 09:20:00+00
25,1562511,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6E,1115,2022/01/02 07:00:00+00
26,1562517,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,4,4C,1225,2022/01/02 01:30:00+00
27,1562519,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,5,5B,1631,2022/01/01 11:46:00+00
28,1562529,5005,10,OBST JUDICIARY,166(C)(4) VIOL R/O W/PRIORS,5,5C,1605,2022/01/01 23:17:00+00
29,1562530,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,2,2B,0563,2022/01/01 17:35:00+00
30,1562532,3802,2,AGG ASSAULT,368(B)(1)ENDANGER HEALTH/ELDER,1,1A,0136,2022/01/02 21:38:00+00
31,1562540,2803,0,STOLEN PROP,496(A) REC STOLEN PROP-FEL,2,2A,0215,2022/01/03 00:55:00+00
32,1562543,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,2,2C,0568,2022/01/03 01:09:00+00
33,1562544,5212,78,WEAPON OFFENSE,29800(A)(1) FELON POSS GUN,2,2B,0537,2022/01/03 00:02:00+00
34,1562545,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,4,4B,0986,2022/01/01 19:00:00+00
35,1562547,1399,4,BATTERY,243(D) BATTERY CIVILIAN W/INJ,2,2C,0617,2022/01/01 16:30:00+00
36,1562551,5005,4,OBST JUDICIARY,166(C)(1) VIOL PROTECT ORDER,3,3B,0736,2022/01/02 03:50:00+00
37,1562552,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2C,0612,2022/01/02 03:50:00+00
38,1562564,5213,5B,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-M,2,2B,0523,2022/01/01 08:33:00+00
39,1562565,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2A,0505,2022/01/01 23:19:00+00
40,1562572,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,4,4A,0916,2022/01/03 01:02:00+00
41,1562578,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,6,6B,1086,2022/01/02 22:31:00+00
42,1562607,2602,0,FRAUD,FRAUD-SWINDLE,2,2C,0567,2022/01/01 18:00:00+00
43,1562613,2399,2,LARCENY,484 PC PETTY THEFT,5,5B,1399,2022/01/03 16:00:00+00
44,1562615,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1C,0437,2022/01/03 06:30:00+00
45,1562616,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,2,2A,0517,2022/01/03 16:20:00+00
46,1562617,2602,0,FRAUD,FRAUD-SWINDLE,2,2A,0517,2022/01/01 08:20:00+00
47,1562619,2602,0,FRAUD,FRAUD-SWINDLE,2,2B,0563,2022/01/02 14:00:00+00
48,1562620,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,4,4C,1279,2022/01/03 08:02:00+00
49,1562621,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,4,4B,0987,2022/01/03 08:00:00+00
50,1562625,2605,13,THEFT,484G PC THEFT BY CREDIT CARD,2,2B,0553,2022/01/02 08:22:00+00
51,1562626,2602,0,FRAUD,FRAUD-SWINDLE,2,2C,0602,2022/01/03 19:20:00+00
52,1562627,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5A,1365,2022/01/03 07:30:00+00
53,1562628,2602,0,FRAUD,FRAUD-SWINDLE,1,1A,0336,2022/01/03 03:00:00+00
54,1562629,2304,1,LARCENY,487(A) GRAND THEFT-AUTO PARTS,2,2A,0212,2022/01/03 16:00:00+00
55,1562630,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5C,1654,2022/01/03 07:35:00+00
56,1562631,2602,0,FRAUD,FRAUD-SWINDLE,6,6A,1052,2022/01/03 19:50:00+00
57,1562632,2602,0,FRAUD,FRAUD-SWINDLE,2,2B,0563,2022/01/03 09:00:00+00
58,1562640,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,5,5A,1365,2022/01/03 18:00:00+00
59,1562641,2299,01,BURGLARY,459 PC BURG VEHICLE,3,3M,0742,2022/01/03 02:30:00+00
60,1562643,2602,0,FRAUD,FRAUD-SWINDLE,2,2B,0564,2022/01/03 19:00:00+00
61,1562644,2999,15,VANDALISM,594(A)(1) VANDALISM-GRAFFITI,5,5B,1358,2022/01/03 07:00:00+00
62,1562645,2602,0,FRAUD,FRAUD-SWINDLE,1,1C,0409,2022/01/01 17:15:00+00
63,1562648,7399,36B,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,4,4A,0927,2022/01/03 14:58:00+00
64,1562649,1313,19,BATTERY,242 PC BATTERY CIVILIAN,5,5C,1624,2022/01/03 12:42:00+00
65,1562650,2399,2,LARCENY,484 PC PETTY THEFT,6,6A,1022,2022/01/02 16:00:00+00
66,1562656,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,3,3B,0748,2022/01/03 08:39:00+00
67,1562659,2602,0,FRAUD,FRAUD-SWINDLE,2,2B,0543,2022/01/03 20:00:00+00
68,1562660,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3B,0746,2022/01/01 08:00:00+00
69,1562662,2999,34,VANDALISM,594(A)(1) VANDALISM-GRAFFITI,5,5B,1358,2022/01/02 17:43:00+00
70,1562664,1212,0,ROBBERY,215(A) PC CARJACKING,1,1C,0449,2022/01/02 22:40:00+00
71,1562670,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,1,1B,0435,2022/01/02 17:39:00+00
72,1562671,2602,0,FRAUD,FRAUD-SWINDLE,2,2A,0233,2022/01/03 05:00:00+00
73,1562673,1313,19,BATTERY,242 PC BATTERY CIVILIAN,6,6C,1422,2022/01/02 18:14:00+00
74,1562677,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,6,6A,1022,2022/01/02 06:00:00+00
75,1562684,5213,5,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-F,1,1C,0426,2022/01/01 08:00:00+00
76,1562685,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,2,2B,0552,2022/01/01 23:08:00+00
77,1562687,2999,091,TAMPERING,10852 VC VEHICLE TAMPERING,2,2A,0216,2022/01/01 20:58:00+00
78,1562694,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,6,6D,0851,2022/01/02 20:02:00+00
79,1562698,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6A,1022,2022/01/02 06:00:00+00
80,1562699,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6A,1022,2022/01/02 06:00:00+00
81,1562700,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6A,1022,2022/01/02 06:00:00+00
82,1562701,2299,01,BURGLARY,459 PC BURG VEHICLE,1,1A,0336,2022/01/02 01:00:00+00
83,1562703,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6E,0876,2022/01/03 07:00:00+00
84,1562704,2299,01,BURGLARY,459 PC BURG VEHICLE,5,5B,1622,2022/01/01 09:07:00+00
85,1562705,2304,1,LARCENY,487(A) GRAND THEFT-AUTO PARTS,6,6B,1421,2022/01/03 02:04:00+00
86,1562706,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5B,1604,2022/01/03 21:48:00+00
87,1562707,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1427,2022/01/02 18:07:00+00
88,1562709,1313,19,BATTERY,242 PC BATTERY CIVILIAN,6,6E,1115,2022/01/02 18:56:00+00
89,1562711,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,1,1A,0337,2022/01/02 18:42:00+00
90,1562712,5212,78,WEAPON OFFENSE,29800(A)(1) FELON POSS GUN,6,6D,0851,2022/01/02 23:10:00+00
91,1562713,1313,19,BATTERY,242 PC BATTERY CIVILIAN,3,3M,0751,2022/01/03 00:15:00+00
92,1562714,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,6,6B,1421,2022/01/01 08:00:00+00
93,1562715,0999,11,HOMICIDE,664/187(A) ATTEMPTED HOMICIDE,6,6D,0847,2022/01/03 04:59:00+00
94,1562718,5005,4,OBST JUDICIARY,166(C)(1) VIOL PROTECT ORDER,4,4C,1296,2022/01/03 10:40:00+00
95,1562727,3532,2,NARCOTICS,11351.5 HS POSS SALE RCK COCAI,2,2A,0214,2022/01/03 04:29:00+00
96,1562732,1399,4,BATTERY,243(D) BATTERY CIVILIAN W/INJ,3,3B,0728,2022/01/03 02:32:00+00
97,1562734,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,6,6B,1402,2022/01/02 15:29:00+00
98,1562749,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,6,6E,0876,2022/01/02 00:00:00+00
99,1562758,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,2,2B,0545,2022/01/03 04:18:00+00
100,1562760,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,3,3A,0762,2022/01/04 06:02:00+00
101,1562770,1313,19,BATTERY,242 PC BATTERY CIVILIAN,3,3M,0742,2022/01/02 08:19:00+00
102,1562772,3599,63,NARCOTICS,11377(A) POSS DANGEROUS DRUG,3,3B,0767,2022/01/04 01:52:00+00
103,1562777,3522,11,NARCOTIC,11351 HS POSS/SALE OPIATE/NARC,1,1B,0421,2022/01/03 10:00:00+00
104,1562778,5499,15,TRAFFIC,23103(A) RECKLESS ON HIGHWAY,6,6C,1112,2022/01/04 07:17:00+00
105,1562779,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,3,3B,0767,2022/01/04 07:23:00+00
106,1562780,5202,27,WEAPON OFFENSE,25400(C)(6)(B) CCW-NOT REG OWN,5,5B,1622,2022/01/03 02:38:00+00
107,1562781,5213,7,WEAPON OFFENSE,247(B) PC SHOOT UNOCC BLDG/VEH,5,5A,1381,2022/01/02 21:51:00+00
108,1562782,1315,20,AGG ASSAULT,245(A)(2) AWDW-FIREARM,6,6A,1081,2022/01/03 06:54:00+00
109,1562784,5404,01,TRAFFIC,23152(B) DUI BAC >.08,1,1A,0136,2022/01/03 17:55:00+00
110,1562787,5202,22,WEAPON OFFENSE,25400(A)(6) CCW UNREG W/AMMO,2,2C,0604,2022/01/03 06:18:00+00
111,1562788,2803,0,STOLEN PROP,496(A) REC STOLEN PROP-FEL,1,1C,0419,2022/01/02 07:05:00+00
112,1562790,7399,36B,SAC CITY CODE,9.16.140B TRESPASS AFTR NOTICE,6,6D,0841,2022/01/04 00:40:00+00
113,1562793,5005,2,OBST JUDICIARY,166(A)(4) WILFUL DISOBEY CT OR,6,6B,1421,2022/01/04 01:07:00+00
114,1562799,5299,127,WEAPON OFFENSE,30305(A)(1) FELON POSS AMMO-F,2,2B,0563,2022/01/04 03:05:00+00
115,1562800,1313,19,BATTERY,242 PC BATTERY CIVILIAN,2,2C,0557,2022/01/01 11:41:00+00
116,1562802,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,3,3A,0721,2022/01/02 20:00:00+00
117,1562807,2602,0,FRAUD,FRAUD-SWINDLE,5,5C,1637,2022/01/03 16:30:00+00
118,1562809,2605,13,THEFT,484G PC THEFT BY CREDIT CARD,4,4C,1286,2022/01/01 08:46:00+00
119,1562810,2999,33,VANDALISM,594(A)(2) VANDALISM-DAMAGE,6,6C,1422,2022/01/03 15:00:00+00
120,1562811,2605,13,THEFT,484G PC THEFT BY CREDIT CARD,1,1C,0447,2022/01/03 17:43:00+00
121,1562812,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5A,1393,2022/01/04 07:00:00+00
122,1562813,2605,13,THEFT,484G PC THEFT BY CREDIT CARD,1,1A,0128,2022/01/03 09:00:00+00
123,1562815,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,3,3M,0742,2022/01/04 12:00:00+00
124,1562816,2099,2,ARSON,451(B) PC ARSON OF INHAB STRUC,3,3M,0742,2022/01/04 13:17:00+00
125,1562818,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1A,0130,2022/01/02 01:00:00+00
126,1562819,2605,8,FRAUD,484G(B) PC ACCESS CARD FRAUD,3,3B,0748,2022/01/03 08:02:00+00
127,1562821,1210,0,ROBBERY,211 PC ROBBERY-PURSE SNATCH,2,2B,0522,2022/01/03 21:23:00+00
128,1562822,2605,8,FRAUD,484G(B) PC ACCESS CARD FRAUD,2,2C,0568,2022/01/03 08:08:00+00
129,1562823,2099,3,ARSON,451(C) PC ARSON STRUC/LAND,6,6C,1411,2022/01/04 00:31:00+00
130,1562824,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,1,1C,0405,2022/01/01 18:10:00+00
131,1562827,2605,13,THEFT,484G PC THEFT BY CREDIT CARD,2,2C,0617,2022/01/03 10:00:00+00
132,1562828,2099,4,ARSON,451(D) PC ARSON OF PROPERTY,2,2A,0233,2022/01/04 04:05:00+00
133,1562833,2605,13,THEFT,484G PC THEFT BY CREDIT CARD,2,2A,0233,2022/01/03 08:01:00+00
134,1562834,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,3,3M,0734,2022/01/04 07:19:00+00
135,1562835,2602,0,FRAUD,FRAUD-SWINDLE,2,2B,0553,2022/01/01 16:00:00+00
136,1562840,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1B,0353,2022/01/03 23:30:00+00
137,1562845,2605,13,THEFT,484G PC THEFT BY CREDIT CARD,2,2C,0558,2022/01/02 12:00:00+00
138,1562847,2602,0,FRAUD,FRAUD-SWINDLE,5,5B,1358,2022/01/04 01:00:00+00
139,1562848,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,3,3M,0751,2022/01/01 09:00:00+00
140,1562856,2299,01,BURGLARY,459 PC BURG VEHICLE,4,4C,1251,2022/01/03 08:00:00+00
141,1562861,2299,01,BURGLARY,459 PC BURG VEHICLE,2,2A,0515,2022/01/04 02:00:00+00
142,1562867,5499,15,TRAFFIC,23103(A) RECKLESS ON HIGHWAY,1,1A,0334,2022/01/04 20:17:00+00
143,1562874,5202,14,WEAPON OFFENSE,25400(A)(2) CCW ON PERSON-MIS,5,5B,1602,2022/01/04 07:24:00+00
144,1562876,5202,24,WEAPON OFFENSE,25400(C)(6)(A) CCW-ON PER LOAD,2,2B,0545,2022/01/04 01:09:00+00
145,1562877,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,4,4B,0988,2022/01/03 22:38:00+00
146,1562878,3599,33,NARCOTICS,11377(A) POSS DANGEROUS DRUG,1,1B,0435,2022/01/03 10:02:00+00
147,1562879,5499,13,TRAFFIC VIO,23109(A)ILLEGAL SPEED CONTEST,2,2B,0541,2022/01/01 10:30:00+00
148,1562880,5404,000,TRAFFIC,23152(A) DUI ALCOHOL,4,4A,0901,2022/01/02 10:01:00+00
149,1562884,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,6,6B,1401,2022/01/04 18:29:00+00
150,1562885,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,4,4B,1351,2022/01/02 03:31:00+00
151,1562891,2303,2,LARCENY,487(A) GRAND THEFT-SHOPLIFT,2,2C,0619,2022/01/02 02:23:00+00
152,1562892,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,6,6B,1402,2022/01/01 13:49:00+00
153,1562897,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,2,2C,0567,2022/01/02 02:15:00+00
154,1562898,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,4,4A,0903,2022/01/03 03:01:00+00
155,1562905,5202,11,WEAPON OFFENSE,25400(A)(1) CCW IN VEHICLE-FEL,6,6C,1113,2022/01/03 20:36:00+00
156,1562906,2299,01,BURGLARY,459 PC BURG VEHICLE,6,6C,1113,2022/01/04 15:57:00+00
157,1562907,2501,01,FORGERY,476 MAKE/PASS FICT CHECK-FEL,1,1C,0449,2022/01/04 20:48:00+00
158,1562908,3599,61,NARCOTICS,11350(A) POSS CONTROLLED SUBST,1,1C,0449,2022/01/04 23:37:00+00
159,1562910,2803,04,STOLEN PROP,496D(A) PURCH STLN VEH-FEL,2,2C,0558,2022/01/05 06:30:00+00
160,1562912,4803,3,OBSTRUCTING,148.9(A) PC FALSE ID TO OFCR,2,2C,0628,2022/01/05 04:17:00+00
161,1562914,3599,62,NARCOTICS,11377(A) POSS DAN DRUG/SUPER X,6,6B,1084,2022/01/05 02:34:00+00
162,1562916,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,1,1B,0440,2022/01/03 16:00:00+00
163,1562918,1315,39,AGG ASSAULT,245(A)(4)AWDW-FORCE ONLY,3,3B,0767,2022/01/05 00:57:00+00
164,1562920,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,2,2B,0563,2022/01/05 00:37:00+00
165,1562921,3599,22,NARCOTICS,11364 HS POSS DRUG PARAPH,6,6B,1084,2022/01/04 20:43:00+00
166,1562923,1313,19,BATTERY,242 PC BATTERY CIVILIAN,3,3M,0742,2022/01/02 21:02:00+00
167,1562928,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,2,2B,0521,2022/01/02 01:53:00+00
168,1562930,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,2,2A,0506,2022/01/03 16:53:00+00
169,1562932,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,5,5C,1637,2022/01/02 23:03:00+00
170,1562939,2303,1,LARCENY,487(A) PC GRAND THEFT >$950,5,5C,1607,2022/01/02 08:30:00+00
171,1562943,5213,5,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-F,2,2B,0545,2022/01/03 07:52:00+00
172,1562945,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,3,3A,0776,2022/01/03 07:55:00+00
173,1562946,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,6,6E,1115,2022/01/02 16:53:00+00
174,1562948,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,3,3B,0767,2022/01/04 00:00:00+00
175,1562949,2399,4,LARCENY,484 PETTY THEFT/LICENSE PLATE,5,5B,1621,2022/01/05 00:50:00+00
176,1562951,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,5,5B,1614,2022/01/02 23:04:00+00
177,1562953,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6D,0803,2022/01/04 02:00:00+00
178,1562954,5401,0,TRAFFIC,20002(A) HIT/RUN-FAIL INFO,1,1A,0103,2022/01/01 10:10:00+00
179,1562955,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2A,0512,2022/01/05 06:00:00+00
180,1562961,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2A,0231,2022/01/04 04:00:00+00
181,1562964,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2B,0564,2022/01/05 07:00:00+00
182,1562966,2308,3,THEFT,488 PC PETTY THEFT,4,4B,1356,2022/01/02 19:00:00+00
183,1562967,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2B,0564,2022/01/05 07:00:00+00
184,1562968,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,2,2C,0604,2022/01/02 01:03:00+00
185,1562971,2605,8,FRAUD,484G(B) PC ACCESS CARD FRAUD,2,2A,0501,2022/01/01 08:00:00+00
186,1562975,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2C,0568,2022/01/04 19:00:00+00
187,1562979,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,2,2B,0552,2022/01/05 02:00:00+00
188,1562984,3563,3,NARCOTICS,11358(C) CULTIVATE MARIJUANA,6,6B,1088,2022/01/04 21:33:00+00
189,1562985,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6E,1106,2022/01/05 03:30:00+00
190,1562989,2605,8,FRAUD,484G(B) PC ACCESS CARD FRAUD,2,2A,0502,2022/01/01 08:00:00+00
191,1562990,5400,1,TRAFFIC,TRAFFIC ACCIDENT-NON-INJURY,6,6A,1013,2022/01/02 02:49:00+00
192,1562993,2605,8,FRAUD,484G(B) PC ACCESS CARD FRAUD,2,2A,0231,2022/01/03 08:00:00+00
193,1562995,2404,13,AUTO THEFT,O/S AGENCY  10851 VC LOCATE,1,1C,0429,2022/01/04 20:32:00+00
194,1563004,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1A,0348,2022/01/04 20:00:00+00
195,1563009,2999,02,VANDALISM,594(B)(1) VANDAL OVER $400-F,6,6E,0876,2022/01/05 09:00:00+00
196,1563014,1399,4,BATTERY,243(D) BATTERY CIVILIAN W/INJ,3,3M,0742,2022/01/05 13:20:00+00
197,1563027,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,5,5B,1604,2022/01/03 17:00:00+00
198,1563030,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,1,1B,0441,2022/01/03 11:37:00+00
199,1563034,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6C,1427,2022/01/03 08:30:00+00
200,1563037,2203,0,BURGLARY,459 PC BURG BUSINESS-FORCE,6,6B,1007,2022/01/03 06:00:00+00
201,1563039,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,3,3M,0754,2022/01/03 05:00:00+00
202,1563041,1315,20,AGG ASSAULT,245(A)(2) AWDW-FIREARM,1,1C,0416,2022/01/04 12:11:00+00
203,1563043,2604,42,FRAUD,530.5(A) GET CRED W/OTH ID-FEL,6,6B,1084,2022/01/02 22:19:00+00
204,1563046,2305,0,LARCENY,484 PETTY THEFT CLOUT UNLOCKED,6,6D,0814,2022/01/03 14:20:00+00
205,1563051,2399,45,LARCENY,490.4(A)(1) ORG RETAIL THEFT,5,5A,1391,2022/01/02 02:49:00+00
206,1563053,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,1,1A,0337,2022/01/01 23:16:00+00
207,1563055,1203,0,ROBBERY,211 PC ROBBERY-SHOPLIFT,4,4B,0958,2022/01/05 18:28:00+00
208,1563059,2404,0,STOLEN VEHICLE,10851(A)VC TAKE VEH W/O OWNER,6,6E,0898,2022/01/03 12:30:00+00
209,1563061,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,3,3B,0766,2022/01/05 17:20:00+00
210,1563070,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,1,1B,0444,2022/01/05 06:50:00+00
211,1563073,5213,5,WEAPON OFFENSE,246.3(A) NEGL DISCH FIREARM-F,5,5B,1399,2022/01/05 07:00:00+00
212,1563074,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,1,1A,0313,2022/01/05 06:22:00+00
213,1563076,1313,19,BATTERY,242 PC BATTERY CIVILIAN,5,5B,1616,2022/01/06 00:56:00+00
214,1563079,5401,2,ACCIDENT,20001(A) VC HIT/RUN INJ/DEATH,2,2B,0564,2022/01/02 03:32:00+00
215,1563080,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,1,1C,0429,2022/01/03 13:00:00+00
216,1563081,1210,0,ROBBERY,211 PC ROBBERY-PURSE SNATCH,1,1C,0447,2022/01/03 19:19:00+00
217,1563083,2202,0,BURGLARY,459 PC BURG RESIDENCE-FORCE,5,5C,1661,2022/01/03 20:04:00+00
218,1563087,2309,0,LARCENY,484 PC PETTY THEFT/OUTSIDE,3,3A,0765,2022/01/03 08:00:00+00
219,1563088,1299,0,ROBBERY,211 PC ROBBERY-UNSPECIFIED,6,6C,1404,2022/01/03 22:06:00+00
220,1563089,1203,0,ROBBERY,211 PC ROBBERY-SHOPLIFT,6,6B,1084,2022/01/04 02:06:00+00
221,1563090,2304,1,LARCENY,487(A) GRAND THEFT-AUTO PARTS,5,5A,1365,2022/01/03 18:45:00+00
222,1563092,2303,3,LARCENY,484 PETTY THEFT-SHOPLIFT,1,1A,0328,2022/01/04 02:36:00+00
223,1563097,2999,05,VANDALISM,594(B)(2)(A) VANDAL UNDER $400,3,3M,0732,2022/01/05 18:40:00+00
224,1563100,1315,19,AGG ASSAULT,245(A)(1)AWDW-NON-FIREARM,5,5C,1623,2022/01/04 03:13:00+00
